epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,19190.5,1.21398,1.00503,1.02383,0.62838,0.37215,0.44468,0.34957,1.17441,1.22198,0.9977,0.00988219,0.00988219,0.00988219
121,19360,1.20573,1.00076,1.02353,0.55316,0.40448,0.44009,0.3409,1.17936,1.21484,1.00986,0.0098812,0.0098812,0.0098812
122,19522.6,1.20558,1.00391,1.02107,0.62083,0.39542,0.44261,0.34627,1.18626,1.19443,1.0137,0.00988021,0.00988021,0.00988021
123,19687.4,1.21243,1.01057,1.02276,0.58103,0.41273,0.43668,0.33894,1.17892,1.21539,1.00266,0.00987922,0.00987922,0.00987922
124,19851.4,1.21089,0.99565,1.0201,0.64571,0.39691,0.45392,0.35485,1.1669,1.20032,1.0009,0.00987823,0.00987823,0.00987823
125,20016.1,1.20583,0.99216,1.01709,0.62509,0.39563,0.44451,0.34379,1.18089,1.19329,1.00519,0.00987724,0.00987724,0.00987724
126,20184.7,1.19625,0.98975,1.02007,0.67475,0.39621,0.45681,0.35584,1.18871,1.19143,1.01027,0.00987625,0.00987625,0.00987625
127,20348.9,1.21115,0.99303,1.02283,0.62709,0.40336,0.45173,0.35247,1.19654,1.21163,1.01569,0.00987526,0.00987526,0.00987526
128,20514,1.20144,0.99356,1.01644,0.67228,0.391,0.44592,0.34294,1.1943,1.21121,1.00857,0.00987427,0.00987427,0.00987427
129,20678,1.20598,0.98712,1.01826,0.62897,0.4211,0.45302,0.35237,1.17189,1.21418,0.99656,0.00987328,0.00987328,0.00987328
130,20842,1.20483,0.99202,1.01791,0.59891,0.42967,0.45795,0.34813,1.17927,1.26744,1.0074,0.00987229,0.00987229,0.00987229
131,21003.7,1.18896,0.98199,1.01047,0.60507,0.4226,0.46466,0.35717,1.17981,1.23064,1.00193,0.0098713,0.0098713,0.0098713
132,21172.5,1.18916,0.97823,1.01761,0.56197,0.41819,0.44994,0.34942,1.1757,1.20218,1.00531,0.00987031,0.00987031,0.00987031
133,21346.4,1.20087,0.98512,1.01888,0.66809,0.38192,0.44826,0.34996,1.17506,1.21455,1.00284,0.00986932,0.00986932,0.00986932
134,21517.5,1.20639,0.99052,1.01648,0.72198,0.38081,0.4458,0.34397,1.18144,1.23532,1.00314,0.00986833,0.00986833,0.00986833
135,21693,1.20014,0.98103,1.01528,0.63644,0.39465,0.44511,0.34568,1.1643,1.23783,0.99798,0.00986734,0.00986734,0.00986734
136,21865,1.19879,0.98148,1.01734,0.62631,0.38789,0.45243,0.3473,1.16455,1.23538,0.99725,0.00986635,0.00986635,0.00986635
137,22036.2,1.19786,0.96437,1.01212,0.62707,0.39394,0.46158,0.35658,1.17682,1.21421,1.00779,0.00986536,0.00986536,0.00986536
138,22207,1.20101,0.98029,1.01537,0.68589,0.38792,0.44424,0.34342,1.19635,1.2449,1.02153,0.00986437,0.00986437,0.00986437
139,22384.1,1.20317,0.9755,1.01069,0.67486,0.38195,0.45577,0.35669,1.17093,1.19752,1.00816,0.00986338,0.00986338,0.00986338
140,22554.4,1.18427,0.96181,1.00942,0.69256,0.39865,0.45086,0.34281,1.18451,1.22317,1.01144,0.00986239,0.00986239,0.00986239
141,22724.5,1.19279,0.96459,1.01523,0.65511,0.39979,0.45194,0.35118,1.17092,1.22229,1.00199,0.0098614,0.0098614,0.0098614
142,22894.5,1.19916,0.96727,1.01139,0.70808,0.36114,0.44101,0.34396,1.17979,1.2373,1.00205,0.00986041,0.00986041,0.00986041
143,23063.7,1.19303,0.97112,1.01495,0.62083,0.38572,0.44336,0.34737,1.16811,1.21849,0.99565,0.00985942,0.00985942,0.00985942
144,23231.9,1.18271,0.96694,1.01126,0.66634,0.38148,0.44416,0.343,1.18659,1.19304,1.00195,0.00985843,0.00985843,0.00985843
145,23399.7,1.18261,0.95613,1.01046,0.7368,0.36799,0.45329,0.35298,1.18902,1.19514,1.00709,0.00985744,0.00985744,0.00985744
146,23563.9,1.18097,0.95098,1.0061,0.67079,0.39759,0.45465,0.357,1.1755,1.21788,1.00119,0.00985645,0.00985645,0.00985645
147,23724.8,1.17716,0.95217,1.00817,0.59711,0.39903,0.4487,0.35268,1.17967,1.18533,1.00994,0.00985546,0.00985546,0.00985546
148,23900.1,1.18536,0.94187,1.00934,0.56778,0.41237,0.4482,0.34375,1.17529,1.20342,1.00856,0.00985447,0.00985447,0.00985447
149,24062.2,1.18808,0.95179,1.00931,0.63861,0.3883,0.44576,0.34637,1.15007,1.19804,0.98991,0.00985348,0.00985348,0.00985348
150,24221.4,1.18341,0.95039,1.01089,0.62302,0.41219,0.45207,0.35085,1.16682,1.18054,0.99834,0.00985249,0.00985249,0.00985249
